mlg,cluster,color,type,source,hybrid,A,B,C,D,daysDiseased,daysLesion,propDiseased,propHealthy
147,4,#7fbf7b,SR,H,N,0.176302005,0.047100397,0.120278636,0.656318962,0.28571429,0.21428571,1,0
148,3,#d9f0d3,SR,H,N,0.111177486,0.018955485,0.327674897,0.542192132,0.07142857,0.42857143,1,0
149,5,#1b7837,SR,H,N,0.009844496,0.001594142,0.006563787,0.981997575,1,1,0,1
150,4,#7fbf7b,SR,H,N,0.129973993,0.029061142,0.196826837,0.644138027,0.07142857,0.78571429,1,0
151,4,#7fbf7b,COO,KWN,N,0.05384978,0.017252805,0.064750437,0.864146979,0.28571429,0.07142857,1,0
152,4,#7fbf7b,COO,KWN,Y,0.003520121,0.000800492,0.0023199,0.993359486,0.34117965,0.1642316,1,0
153,4,#7fbf7b,unk,unk,N,0.11196035,0.020200755,0.143632795,0.724206101,0.37268519,0.49768519,0.66666667,0.33333333
155,4,#7fbf7b,COO,KWN,N,0.003707256,0.000902114,0.00298099,0.992409639,0.25892857,0.16964286,1,0
156,5,#1b7837,SR,unk,N,0.006706591,0.001665617,0.005857691,0.985770101,0.07142857,0.57142857,1,0
158,5,#1b7837,SR,H,N,0.006453805,0.00166374,0.007836278,0.984046178,0.125,0.375,1,0
159,5,#1b7837,SR,H,N,0.004896774,0.001172471,0.006087535,0.98784322,1,1,0,1
57,4,#7fbf7b,COO,KWN,N,0.004363571,0.001081669,0.005570187,0.988984573,0.07142857,0.57142857,1,0
154,1,#762a83,unk,unk,unk,0.00680055,0.001569926,0.01195689,0.979672634,0.18052631,0.3164975,0.97297297,0.02702703
72,4,#7fbf7b,SR,H,N,0.004789371,0.001269878,0.009800942,0.984139809,0.27395125,0.42616213,0.85714286,0.14285714
164,3,#d9f0d3,unk,unk,unk,0.108027404,0.015089206,0.14186327,0.73502012,0.05902778,0.28819444,1,0
66,4,#7fbf7b,unk,unk,unk,0.00544799,0.001247526,0.014902524,0.97840196,0.09722222,0.21990741,1,0
167,2,#af8dc3,unk,unk,unk,0.005078441,0.001032583,0.004095999,0.989792977,0.21212121,0.36868687,1,0
168,1,#762a83,unk,unk,unk,0.005028094,0.001068636,0.003984063,0.989919207,0.25231481,0.13425926,1,0
169,1,#762a83,SR,H,N,0.067352707,0.014426729,0.07785973,0.840360834,0.14285714,0.28571429,1,0
170,5,#1b7837,SR,H,N,0.004584534,0.001113896,0.003422334,0.990879236,0.09090909,0.5,1,0
171,1,#762a83,SR,unk,N,0.134391121,0.023580585,0.15731282,0.684715474,0.21428571,0.14285714,1,0
173,4,#7fbf7b,unk,unk,unk,0.088924609,0.022450758,0.066457093,0.82216754,0.3125,0.125,1,0
174,4,#7fbf7b,unk,unk,unk,0.004435064,0.000928423,0.002822513,0.991814,0.05902778,0.12152778,1,0
175,5,#1b7837,unk,unk,unk,0.00701856,0.001370887,0.007077319,0.984533235,0.12037037,0.17592593,1,0
91,4,#7fbf7b,unk,unk,unk,0.102412534,0.015997453,0.071306709,0.810283304,0.37268519,0.48611111,0.66666667,0.33333333
